Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap
A,1.02,2.82,-0.0132,0.0258,0.218,-0.047599999999999996,1.015,52.12,123.18,-0.010700000000000001,0.0034999999999999996
AAON,0.64,2.39,0.0691,0.145,0.3043,0.0017000000000000001,0.9179,74.91,77.64,-0.0008,0.0108
AAPL,1.27,3.89,0.0202,0.0603,0.2607,-0.0574,1.5730000000000002,55.49,136.76,-0.0043,-0.0003
AB,1.45,1.06,0.0653,0.12560000000000002,0.32130000000000003,0.0108,1.9056,67.52,38.47,0.0013,0.0148
ABBV,0.8,2.59,0.004699999999999999,0.0232,0.1386,-0.041299999999999996,0.7383,55.4,108.73,-0.008199999999999999,0.0101
ABC,0.5,3.47,0.027200000000000002,0.0698,0.10869999999999999,-0.028300000000000002,0.5222,58.78,109.69,-0.022400000000000003,0.0025
ABR,1.86,0.42,0.0667,0.0895,0.38280000000000003,-0.001,3.3644,66.47,15.45,-0.0032,0.0078000000000000005
ABST,,0.49,0.047599999999999996,0.1589,0.2777,-0.0151,1.8041,63.8,13.74,-0.0058,0.008
ABT,0.75,3.03,0.0796,0.1198,0.2071,-0.0063,1.0131000000000001,72.39,124.03,0.029900000000000003,0.0058
ACA,,1.96,0.0139,0.0809,0.318,-0.0403,1.1865999999999999,59.08,61.53,-0.0039000000000000003,0.013999999999999999
ACCD,,3.73,0.0239,0.0392,0.2927,-0.1833,0.8581,54.06,53.29,-0.019,0.0236
ACI,,0.89,-0.0311,0.0279,0.10830000000000001,-0.179,0.3114,48.29,16.93,0.0095,0.0036
ACIA,0.75,1.77,0.0817,0.3504,0.5905,-0.0003,0.8934000000000001,94.82,114.78,0.0005,-0.0009
ACLS,1.46,1.9,0.022400000000000003,0.1684,0.3774,-0.09880000000000001,1.8406,56.58,36.9,-0.0215,0.0102
ACMR,,6.56,-0.0007000000000000001,0.1412,0.2878,-0.1373,5.1586,56.08,98.23,-0.0068000000000000005,-0.0012
ACRS,1.08,1.88,0.40840000000000004,1.3422,4.2207,-0.1446,28.6714,77.67,20.77,-0.034,-0.0028000000000000004
ACTG,0.75,0.52,0.2988,0.5895,0.9089,-0.07139999999999999,3.0857,76.75,7.15,-0.0441,0.024700000000000003
ADBE,0.96,11.64,0.0434,0.024,0.0889,-0.0834,0.9289000000000001,58.71,492.12,0.0024,0.0031
ADI,1.32,4.01,-0.0388,0.0079,0.1861,-0.0872,0.8813,46.56,148.76,-0.0195,0.008
ADSK,1.35,8.86,0.015,0.042800000000000005,0.2447,-0.047599999999999996,1.4394999999999998,56.56,305.86,0.0132,0.0046
ADTN,1.46,0.85,-0.044000000000000004,0.0519,0.31579999999999997,-0.1268,2.3562,46.54,16.11,-0.0484,0.052199999999999996
AEYE,2.23,2.11,0.19579999999999997,0.3036,0.8762000000000001,-0.0074,14.2577,69.28,29.6,-0.013300000000000001,0.0118
AFYA,,1.17,0.04769999999999999,0.0127,0.0296,-0.1678,0.7775,57.68,24.85,0.0446,0.0008
AGCO,1.29,4.09,0.049100000000000005,0.1527,0.5682,-0.041299999999999996,2.3878,63.31,119.69,-0.019299999999999998,0.0078000000000000005
AGIO,1.65,2.2,0.11410000000000001,0.20550000000000002,0.2061,-0.0688,0.9025,68.67,52.84,0.0373,0.0089
AGNC,0.99,0.25,0.0301,0.0438,0.1547,-0.1705,1.608,64.95,16.3,0.0049,0.0031
AGO,1.12,1.2,0.011000000000000001,0.1159,0.3786,-0.2268,1.7588,61.33,37.63,-0.0042,0.0137
AGRO,1.24,0.26,0.050300000000000004,0.1724,0.5558,-0.037599999999999995,1.4381,69.62,8.07,0.0062,0.0063
AKAM,0.4,3.24,0.0521,0.0781,0.0795,-0.08199999999999999,0.5253,61.07,114.67,0.0168,0.0059
AKTS,1.66,1.34,0.23079999999999998,0.5506,1.0472,-0.0298,3.9414999999999996,73.35,18.58,0.014199999999999999,0.0161
ALBO,1.5,1.81,0.11789999999999999,0.09759999999999999,0.331,-0.1439,2.7256,66.1,41.95,-0.024399999999999998,0.0118
ALG,0.99,4.44,-0.0089,0.0365,0.263,-0.0489,1.0720999999999998,52.34,147.1,-0.0128,0.0038
ALGM,,2.35,-0.0338,0.077,0.1435,-0.129,0.7992,51.12,30.19,-0.0121,-0.0347
ALGN,1.71,24.41,0.1261,0.1741,0.7087,-0.022099999999999998,3.8518,68.79,620.45,-0.0026,0.0113
ALLT,,0.79,0.0013,0.17190000000000003,0.2746,-0.0951,1.1429,57.63,13.8,0.018500000000000003,0.0067
ALNY,1.34,8.34,0.0294,0.1548,0.1773,-0.0745,0.9431999999999999,59.36,165.11,0.042199999999999994,0.0032
ALRM,1.15,3.9,0.0318,0.11460000000000001,0.5161,-0.0603,2.1913,60.77,102.12,0.049400000000000006,0.010700000000000001
ALTG,,0.42,0.024300000000000002,0.0775,0.2796,-0.0495,1.8858000000000001,59.85,10.36,0.0319,0.009000000000000001
ALTM,3.97,2.74,0.1042,0.17170000000000002,1.4374,-0.0044,4.8255,67.75,54.76,-0.0009,0.0165
ALTR,,2.15,0.0766,0.12240000000000001,0.4465,0.0067,1.8056,65.66,64.64,0.0015,0.015700000000000002
ALXN,1.25,2.27,-0.0194,0.049699999999999994,0.2791,-0.053399999999999996,1.1181,49.47,153.92,-0.0078000000000000005,-0.003
AMAT,1.48,4.18,-0.0148,0.0872,0.46869999999999995,-0.0917,1.7486000000000002,52.93,100.71,-0.042300000000000004,0.018600000000000002
AMED,0.73,10.09,0.0042,0.0641,0.2749,-0.0809,1.2477,55.86,298.83,0.0003,0.0085
AMKR,1.68,0.78,0.0308,0.1189,0.38049999999999995,-0.063,2.3056,58.97,17.85,0.0235,0.0169
AMRC,0.47,3.41,0.1085,0.2535,0.8475,0.0104,3.8782,65.37,65.27,0.02,0.018500000000000003
AMRX,1.26,0.24,0.0677,0.1411,0.1764,-0.0647,1.1667,65.0,5.2,0.0058,0.015700000000000002
AMSC,1.27,2.51,-0.08039999999999999,0.0471,0.7646999999999999,-0.2237,4.6068,47.91,24.67,0.024900000000000002,0.0397
AMWL,,2.76,0.10619999999999999,0.2011,0.203,-0.1984,0.6434000000000001,57.15,35.07,-0.010700000000000001,0.013999999999999999
AMYT,,0.46,0.0297,0.0483,0.1338,-0.0955,0.7746999999999999,59.21,14.02,-0.0161,0.014199999999999999
AMZN,1.15,83.94,0.0374,0.045700000000000005,0.1131,-0.056299999999999996,1.0615999999999999,58.89,3352.15,0.0088,-0.0025
ANSS,1.23,10.27,0.028300000000000002,0.0692,0.19920000000000002,-0.0033,0.8967,58.37,379.48,-0.0006,0.0060999999999999995
AOSL,2.6,2.34,0.12179999999999999,0.25120000000000003,1.0403,-0.041100000000000005,4.7698,65.21,33.58,-0.1033,0.078
APAM,1.88,2.2,0.024,0.0653,0.34950000000000003,-0.0362,2.0102,56.03,53.25,0.017,0.0
APHA,,1.16,0.35609999999999997,0.7547,1.8666,-0.047400000000000005,7.5487,78.3,16.67,-0.0048,0.0189
API,,7.75,0.8711,1.1558,1.1948,0.053200000000000004,1.9464,87.72,99.0,0.1355,-0.0111
APO,1.6,1.64,0.0601,0.0673,0.0894,-0.0848,1.6048,60.53,50.69,-0.01,0.0049
APPN,1.99,19.46,0.2052,0.36200000000000004,1.6081999999999999,-0.1295,6.7860000000000005,63.66,226.34,0.0148,0.0012
APPS,2.43,6.22,0.46399999999999997,0.6581999999999999,2.0717,0.0467,24.3103,75.15,88.08,0.1437,-0.0023
ARE,0.76,3.59,0.0226,0.011200000000000002,0.049400000000000006,-0.045,0.5721,55.4,171.7,-0.0017000000000000001,0.005699999999999999
ARGX,,14.94,0.2303,0.2565,0.5104,0.0006,2.576,73.94,371.01,0.0014000000000000002,0.038900000000000004
ARTNA,0.06,0.99,0.0236,0.0416,0.102,-0.037200000000000004,0.3299,56.54,39.91,-0.0163,-0.0105
ASA,,0.76,0.0075,0.014499999999999999,0.08380000000000001,-0.1493,1.6532,51.76,21.65,0.015,0.0147
ASAN,,1.8,0.0722,0.23879999999999998,0.387,-0.0259,0.8998999999999999,68.17,39.08,0.0021,0.009300000000000001
ASML,1.09,14.97,0.025,0.11689999999999999,0.39840000000000003,-0.0366,1.8903999999999999,58.77,552.81,-0.0039000000000000003,-0.0009
ASO,,1.63,0.0729,0.20170000000000002,0.345,-0.1041,0.9851000000000001,62.56,23.92,0.0004,-0.0008
ATCO,1.14,0.4,0.081,0.1035,0.36369999999999997,-0.0346,1.2727,65.41,12.25,0.0,0.0049
ATEC,1.8,0.79,0.1041,0.20149999999999998,1.0018,-0.0019,6.2922,65.64,15.97,0.0323,0.0171
ATEN,0.93,0.52,0.0709,0.1417,0.36200000000000004,-0.0329,2.0845,60.72,10.58,-0.0364,0.011000000000000001
ATGE,1.28,1.67,0.04019999999999999,0.15689999999999998,0.24420000000000003,-0.0992,0.9990000000000001,64.16,39.5,-0.013500000000000002,0.0126
ATHM,0.65,7.02,0.1732,0.2619,0.4227,-0.1182,1.1871,69.89,130.22,0.0173,-0.0002
ATLC,0.97,2.07,0.1655,0.3147,1.0143,-0.004,4.976,67.74,29.88,-0.0073,0.009399999999999999
ATNX,0.91,0.73,0.1274,0.1379,0.1718,-0.1066,1.4867,62.69,14.0,0.0256,0.0052
ATR,0.64,2.92,0.0222,0.051399999999999994,0.1787,-0.004699999999999999,0.7618,60.26,140.66,0.0086,0.0106
ATVI,0.67,2.8,0.1072,0.1573,0.2693,0.0599,1.0117,71.92,101.61,0.0109,0.08449999999999999
AVAV,0.49,6.32,0.053399999999999996,0.23989999999999997,0.5575,-0.1464,1.726,61.71,122.67,0.0034000000000000002,0.0048
AVGO,1.05,11.78,0.0196,0.0762,0.3144,-0.026099999999999998,1.9936,58.67,466.01,-0.0175,0.0079
AVLR,,7.83,0.08310000000000001,0.0397,0.2663,-0.0673,2.0991,59.15,172.0,0.0203,0.0074
AVNS,1.0,1.41,0.0161,0.0345,0.3268,-0.040999999999999995,1.464,58.65,47.95,0.0042,0.011000000000000001
AVNT,1.64,1.57,-0.026600000000000002,0.0166,0.3482,-0.1166,3.7173000000000003,50.58,40.97,-0.0022,0.018600000000000002
AVNW,2.1,4.3,0.45990000000000003,0.5023,1.3554,0.0165,6.7134,77.36,54.75,0.18739999999999998,0.0083
AVTR,,1.04,0.006,0.061799999999999994,0.32780000000000004,-0.0365,3.4869,55.39,29.86,0.0078000000000000005,-0.0007000000000000001
AWK,0.23,3.62,0.0336,0.0684,0.151,-0.0438,0.7936,65.42,165.01,0.0097,-0.0036
